iso3,outcome,factor,sex_name,age_name,paf,deaths_attr,deaths_lo,deaths_hi,glp1_channel,convergence
TUR,IHD,fruits,Female,55-59 years,0.0043795940791021,5.229374191505444,0.4180396247554426,21.830633880796626,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,60-64 years,0.0031860093810075,6.551279810301618,0.3343474422243213,26.35233095350529,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,65-69 years,0.0028586586299745,9.677799797135792,0.6123100400806301,40.50931681160698,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,70-74 years,0.0026498767017695,12.61900330648367,0.7923033656041383,49.27862978190831,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,75-79 years,0.0026456903948654,21.422906213444566,1.4017746478164352,85.36013360580802,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,80-84 years,0.0029570070965595,27.78874650720184,1.7267286743483392,120.29281418961168,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,85-89 years,0.0030013306386766,28.669800500741847,2.0811721918533985,125.9271633186891,部分汇流-结构小部可及,0.13
TUR,IHD,fruits,Female,90-94 years,0.0030432234062276,18.839125623739584,1.1517973367438907,75.38759087364178,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,25-29 years,0.2780544889629905,621.4780495093885,158.94069639403733,1218.9654661045568,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,30-34 years,0.2763746180087596,1227.2252713387063,301.70241977811713,2278.466446532157,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,35-39 years,0.2734341426236049,1589.2199068711134,400.8374037292391,2857.368455444748,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,40-44 years,0.2601816345950857,2595.8405834363307,681.7142901461905,4945.771827891486,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,45-49 years,0.2408308660426951,3488.046424283013,910.883370712167,6210.400649878167,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,50-54 years,0.2210984226432885,6489.324908138722,1508.0951113508904,12021.689312296276,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,55-59 years,0.1933383372460541,9371.9048075203,2522.364962184586,18151.46839908261,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,60-64 years,0.162155359400117,9803.311920565073,2392.182890790761,18677.88475766289,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,65-69 years,0.1368223323938537,11050.792035544227,2334.3294364910626,21248.85942255661,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,70-74 years,0.1170982902408972,10018.387070653764,2145.5207174820603,19328.93080127731,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,75-79 years,0.1027367457073958,8438.847172883943,1751.029037017625,15557.939918242582,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,80-84 years,0.0914310090662392,6809.697060083718,1455.56711698398,13552.953721681,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,85-89 years,0.0867283014001737,4013.906989170293,769.2984870815245,8257.69266837982,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,90-94 years,0.0803184604968939,1724.5054555413064,292.3688665823107,3424.860449774558,部分汇流-结构小部可及,0.13
IND,IHD,fruits,Female,95+ years,0.0757829702695114,567.1075198936895,107.62071859088265,1286.3774702451055,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,25-29 years,0.2473349351693998,65.83865205050864,18.4242758647964,133.82033977478622,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,30-34 years,0.245271503705033,173.43560239443158,41.82249554694967,380.9602706052762,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,35-39 years,0.2425280880689676,260.553949141407,56.099578217596,507.9209389647051,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,40-44 years,0.2290149147440612,362.5479014935457,75.0690283313323,693.5213350782906,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,45-49 years,0.2084319377887629,407.59853750036746,86.47302780715506,806.7703362621097,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,50-54 years,0.1833763404524706,532.1840508720566,86.69173476088353,1118.6808694457975,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,55-59 years,0.1542502450021942,755.3538758287505,136.61781902547563,1507.043803271291,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,60-64 years,0.1284025119104126,1022.4240749763022,172.61449139359257,2082.803547990848,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,65-69 years,0.1091336616338482,890.251948391721,140.56554089010663,1804.887441758253,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,70-74 years,0.0948923587254509,779.316771441616,115.10756408398188,1714.708369642542,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,75-79 years,0.0864153480437418,670.4440250158694,143.6337633516825,1495.4606273552968,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,80-84 years,0.0819191969446797,716.482294328072,114.04972820068642,1656.758725134997,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,85-89 years,0.0821073151704258,220.04328596091025,32.152128350280826,521.2787020754055,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,90-94 years,0.0821731448914465,75.99112436214656,9.796618657494289,183.6855790110359,部分汇流-结构小部可及,0.13
BGD,IHD,fruits,Female,95+ years,0.0821714121668329,17.25530806829027,3.0403096108083583,40.86276663641296,部分汇流-结构小部可及,0.13
EGY,IHD,fruits,Female,25-29 years,0.0600982412262723,32.54826006061656,5.023992514528716,90.49459505532514,部分汇流-结构小部可及,0.13
EGY,IHD,fruits,Female,30-34 years,0.0555158726762424,46.33272241011129,7.184864552876261,127.92287476068408,部分汇流-结构小部可及,0.13
